path_code,prompt,left_option,center_option,right_option
23,"Non-scented, non-succulent, odd-leaved plants. We’ve got quite a broad range of plants up this way. There are water-loving plants, ferns, and grains. Where next?",Head towards water loving plants,Head towards ferns,Head towards grains
231,"Plants that love water. Up this way are the ocean plants, the pond plants, and the bog plants. Which would you like to see more of?",Head towards saltwater lovers,Head towards freshwater lovers,Head towards carnivorous plants
232,Ferns. They are some of the most ancient plants and are found all over the world. Which region's ferns would you like to see?,Those native to Europe,Those native to the Americas,Those native to East Asia
233,"Grains. I don’t have anything witty to say about them. Let’s see, we’ve got corn, rice, and glutenous plants. Where to?",Corn varieties,Rice varieties,Grain plants with gluten
3,"Lobed leaves or leaves made of smaller leaves. A lovely complexity. No branches though. We have our plants divided into ‘plants that someone might eat as food’ and ‘plants not eaten as food.’ Within plants that are eaten as food, we separate out the ones grown in a summer vegetable garden. Which category interests you?",Food plants grown in a summer “vegetable” garden,Trees and perennials that are eaten as food or drinks,Plants not eaten as food
31,Lobed leaves and leaflets in the summer garden. Many tasty options are here. What tempts you?,Nightshade crops,Root crops,Cucurbitaceae family crops
311,Nightshade plants. Please only eat the parts they tell you to eat. Which ones appeal to you?,Tomatoes,Potatoes,Eggplants
312,Root crops. Taste great baked. Which direction shall we go?,Towards radishes,Towards turnips,Towards rutabagas
313,"Ah, Cucurbitaceae members. It always feels like summer up this way. Which kind interests you?",Melon,Winter squash,Summer squash
32,"Trees and perennials that are eaten as food or drink and have lobed leaves or leaves within leaves. Quite a mouthful, if you know what I mean. Where to from here?",To the trees,To the berries,"To the rest, all of which are used for drinks"
321,Lobed leaves or leaves with leaflets on trees that have some part that is eaten. Which trees do you fancy?,Fig trees,Nut trees,Maple trees
322,Berries!,Raspberries!,Strawberries!,Other berries!
323,"Other lobed or multi-leaflet edible plants to flavor my drinks. We have rose hips (great in tea), grapes (great in wine), and other plants used in various drinks. Where shall we go from here?",Towards rose hips,Towards grapes,Towards the others
33,Plants with leaves that are lobed or have multi-leaflet leaves and not (usually) used as food. What sort of leaf shape catches your interest?,Heart-shaped leaves,Many-lobed leaves,Multi-leaflet leaves
331,Plants with heart-shaped or arrow-shaped leaves that are not (usually) eaten as food. Where to next?,Towards the Alocasias,Towards the vines,Towards the trees
332,Plants with leaves with many lobes that are not eaten as food. Where shall we go from here?,Towards trees,Towards groundcovers or low growers,Towards shrubs
333,Plants whose leaves have many leaflets and are not eaten as food. They have been grouped by size. Which size would you like to size up?,Tree-sized plants,People-sized plants,Plants less than one meter tall
1111,We have three plants in the garden with caffeine. Which would you like to see?,A coffee plant,A yerba mate plant,A tea plant
1112,"Yum, roots. Which would you like to look at closer?",The plant used in ginger tea,The plant used in south indian sharbat,The plant used in turmeric tea
1113,"Some plants make excellent garnishes, even when they have other uses too. Let’s see, here we have:",A cinnamon,A chocolate plant,A lime
1121,"I love apples. Beautiful plants, indeed. Make tasty drinks. There are three in the garden. Would you like to examine one more closely?",The sharp apple tree,The sweet apple tree,The bittersharp apple tree
1122,"Not the most common things to juice, but boy oh boy, I find the juice of these three tasty. Feel free to take a closer look.",Our cherry,Our plum,Our peach
1123,Do you like pear juice? Our three have three different skin colors.,A green-skinned pear,A russet-skinned pear,A red-skinned pear
1131,"A perennial favorite, these. Get it? Perennial? Get it? We have…",A grapefruit,A lemon,An orange
1132,These are quite tasty fruits. The fruits come in a variety of shapes and flavors.,A round green-skinned guava,"A small, red-skinned guava ","An elongated, green-skinned fruit, but not a true guava"
1133,Here are some other miscellaneous fruits that get turned into juice. Would you like to get a closer look at one?,A pomegranate,A cranberry,A mango
1211,Sages come in such lovely varieties. I could never pick a favorite. Would you like to take a closer look at one?,"A common garden sage, comes in many leaf colors ","A sage sold dried, can have variable leaf shape ",A salvia typically grown for its seeds
1212,"Ah, the ever popular basils. We grow three here.",A sweet basil,A lemon-scented basil,A reddish-purple leafed basil
1213,Do you have time for the thymes? Heehee.,A lemon-scented thyme,A regular-scented thyme,A caraway-scented thyme
1221,"Amazing foods, these avocados. They go with everything! Even toast! Would you like to look more closely at one?",One with dark skin,One with yellow-green skin,One with green skin
1222,"Nuts that are sorta round, but not exactly round, but more round than not. It may be easier to take a closer look yourself.",A hazelnut,A macadamia nut,A chestnut
1223,"Nuts that are more long than round. Hey, it makes sense to the gardeners. Feel free to take a closer look at one.",An almond,A brazil nut,A cashew
1231,Why do they make my mouth feel hot? Even when I put them on ice cream. And yet my mouth is always fooled. Would you like a closer look? Perhaps a taste?,Tastes really really hot,Tastes really hot,Tastes just hot
1232,"Cool and refreshing, even when room temperature. Have a teste yourself.",A spearmint,A peppermint,A wintergreen
1233,"These plants make my mouth feel strange. Try one, you’ll see what I mean.",A quince,A persimmon,"A strange, perhaps miraculous berry"
1311,Here we have our willow trees. Which would you like to examine?,A willow whose branches seem to weep and hang down,A willow whose leaves are particularly pale underneath,A willow whose branches seem to twist and turn
1312,Dogwoods. No dogs allowed in the garden though. Our dogwoods come from various places.,A dogwood native to eastern North America,A dogwood native to western North America,A dogwood native to East Asia
1313,Did you know that the flowers of magnolias have many different scents?,A magnolia with lemon-citronella scented flowers,A magnolia with flowers that smell like vanilla,A magnolia whose flowers smells like pineapple
1321,Such a lovely smell. The flowers can really harald the start of summer!,A lilac native to areas around the himalayas,A lilac native to China,The most common lilac
1322,So many flowers! Such interesting shapes and details for the flower bunches!,These flower clusters are surrounded by a ring of bracts,These flower clusters form in a ball or hemisphere,The flower clusters are pyramidal
1323,Lovely flowers. How can you choose between them? Aside from as follows:,A camellia found in Japan,A camellia found in China,A camellia extinct in the wild
1331,"Very pretty flowers, but don’t even think of eating them. Which would you like to examine?","One with small, white, drooping, bell shaped flowers ","One with a spike of tubular flowers, maybe just the right size for a fox’s paw ",Has small pinkish flowers that grow directly from the stems
1332,These flowers look so similar I can barely tell them apart!,The state flower of Maryland,"Like the first one, but more green in the center with droopy petals ","Like the first one, but more orange, sometimes"
1333,"Ah, groundcovers. Did you know that all the plants in this section have blue-purple flowers? Which would you like to take a closer look at?",A periwinkle,A speedwell,A lantana
2111,Did you know there were so many kinds of garlic? Would you like to see one up close?,A garlic with a hard stem,A garlic you can braid,A garlic that’s a bit larger and more mild
2112,Do you prefer onions cooked or fresh? Or maybe not at all? I like onions very much. Would you like to examine one more closely?,A purple onion,A yellow onion,A sweet onion
2113,More alliums! Such smells! Would you like to get a close look at one?,A bunching onion,A chive native to East Asia,A chive native to the northern hemisphere
2121,"Robust and very tasty, these can be found in processed foods like pickles and also in alcohols. Would you like to look more closely at one?",A dill,A fennel,An anise
2122,Here we have delicate aromatic herbs. Use them fresh for a lovely addition to savory meals. Which would you like to investigate?,A parsley,A chervil,A cilantro
2123,"Lovely smells, lovely flowers, a lovely area in the garden. Which flower would you like to examine more closely?",A marigold,A yarrow,A chamomile
2131,Very thin-leaved aromatic plants. This whole area of the garden smells lovely. What should we head towards?,A tarragon,A rosemary,A lavender
2132,These may be the only conifers in the entire garden! Which one would you like to look at up close?,A fir,A cypress,A juniper
2133,"A strange combination, this category. Lovely smells and tastes, though. Which would you like to look at closely?",One with edible colorful flowers and roundish leaves ,A lemony grass,An aquatic plant whose leaves are harvested while roundish
2211,Plants that look like a pile of pebbles. Plants can do so many things. Which pile of pebbles would you like to peep at?,The blue-green-ish pebbles with white flowers,The brownish-red pebbles with yellow flowers,The pinkish-red pebbles with white flowers
2212,"I like the rosette form of these plants, the symmetry can be so lovely. Would you like to look more closely at one?","Yes, the one with pyramidal windows","Yes, one with flat smooth triangular windows ","Yes, the one with triangular bumpy windows"
2213,Here we have other plants with transparent windows. So fascinating! Which do you find most fascinating?,The one that looks like little fingers or toes,"The one that has leaves that look mostly like leaves, but the plant is a column ",The one that actually looks kind of like herbivore teeth
2221,Columnar cactus types can be tricky to tell apart. Which would you like to see one up close?,A cactus with many arms and 4 to 6 ribs ,A cactus with many arms and 9 or 10 ribs ,A cactus that can have many arms (but sometimes has none!) and 12 to 30 ribs
2222,"Barrel and ball growth forms. A rather descriptive category, I think. What would you like to examine?",A hairy cactus,A barrel cactus with yellow spines,A barrel cactus with red or white spines
2223,"Here we have cactus varieties that grow paddles. Not useful for rowing, though. Did you find one that you would like to investigate more closely?",This one has short but wide growth,"This one is tall, like, taller than a person ","This one is medium sized, shrub-like"
2231,"Succulent plants with a rosette form and no spines. Very symmetric, and not painful to touch. Lovely plants. Which is loveliest to you?",The pale pinkish-purple plant,The plant that looks like it’s covered in spiderwebs,The plant that gets kinda tree-like
2232,Succulent plants that look like strings of things. These string plants always make me smile. Would you like a closer look at one?,The one that looks like dolphins,The one that looks like beads,The one that looks like bananas
2233,These plants look as if they are made of blades or tongues. Feel free to examine one more closely. What do you think your favorite looks like?,Looks like tongues,Looks like propellers… if you squint,Looks like paddles… or maybe pancakes
2311,"The saltwater plants. You know, I’ve heard some gardeners argue about whether kelp was a plant. I think they agreed to disagree. Would you like to look closer at any of these?",A sweet kelp,A red kelp,A giant kelp
2312,"Here we have plants that live in freshwater, like ponds and lakes. What would you like to examine?",A lotus,A plant with giant floating leaves,"A plant with tiny, frilly leaves"
2313,"These plants sometimes eat bugs! Bogs are a hard place to live in, after all. Which kind of carnivorous plant would you like to examine?",A pitcher plant,A sundew,A flytrap
2321,"European ferns. Lovely plants, these. Which sort of fern would you like to go to?",A shield-y fern,A chain-y fern,A filmy fern
2322,American ferns. Pretty plants. Feel free to examine one more closely.,Examine a sword-y fern,Examine a blunt-lobed fern,Examine a bristly fern
2323,East Asian ferns. Who knew there were so many ferns? Would you like to look more closely at one?,A beech fern,A maidenhair fern,A climbing fern
2331,Here was have corn. Corn kernels can have interestingly different looks and qualities. Would you like to examine any more closely?,A corn with extra sugars,A corn with dented kernels,A corn good for popcorn
2332,Here we have varieties of rice. Rice is one of my favorite grains. It seems to go with everything! Would you like to look more closely at one?,One with red grains,One with white grains,A wild rice
2333,"There are three kinds of grains that contain gluten: wheat, barley, and rye. Which would you like to examine more closely?",A wheat,A barley,A rye
3111,I’m always impressed by how many different colors and shapes of tomatoes can be found. Would you like to see one up close?,A small yellow pear-shaped tomato,A slicer tomato,A paste tomato
3112,These potatoes are sorted by the color of the flesh. Feel free to take a closer look at one.,A potato with yellow flesh,A potato with purple flesh,A potato with pink flesh
3113,Eggplants have such a lovely variety of fruit shape and color. Please pick a shape and color to look at.,Purple and long,Pinkish purple,Purple-Black and rotund
3121,Radishes have many uses and many different shapes and colors. What kind of radish interests you?,A long radish,A black-skinned radish,A classic red and round radish
3122,"Don’t tell the gardeners, but I can barely tell these turnips apart. Which turnip would you like to examine more closely?",Turnip with purple on top,Turnip with yellow skin and flesh,Turnip with white skin and flesh
3123,"Don’t tell the gardeners, but I can barely tell the rutabagas apart. And how are they different from turnips? Anyway, would you like a close look at one?","The rutabaga with a round-ish root, purple top ","The rutabaga with an elongated root, purple top ","The rutabaga with an elongated root, green top"
3131,Eating a melon always brings me memories of summer. Would you like a closer look at one?,A red watermelon,A yellow watermelon,A cantaloupe
3132,These squashes come in quite the variety of shapes and sizes. Feel free to examine one more closely.,A long squash with tan skin,"A squat, round squash with blue skin ",A long squash with yellow skin
3133,I grew these in my own garden one year and some of them grew as large as a baseball bat! The gardeners here are better gardeners than I. Would you like to see any up close?,Yellow summer squash with a bent neck,Long and green summer squash,Flat-ish summer squash
3211,Do you like figs? There’s quite a variety in the look of the fruit. Would you like to examine one more closely?,A fig with light yellow-green skin,A fig with dark purple skin,A fig with striped yellow green skin
3212,"Interesting leaves, interesting foods. Would you like a closer look at one of these nuts?",A pecan,A walnut,A candlenut
3213,All the maple varieties in the garden can be used for maple syrup. Which qualites of a maple are you interested in?,"Harder wood, the sugariest, with 5 lobes on leaves ","Softer wood, redder leaves in fall ","Harder wood, darker bark, 3 lobes on leaves"
3221,"Yum, raspberries. They can grow in so many places and in many colors. Would you like to look at one more closely?",A black raspberry,A Hawaiian raspberry,A red raspberry
3222,Strawberries are such tasty fruit! These plants look so similar on the outside but are quite different on the inside. Which do you fancy?,A diploid strawberry,An octoploid strawberry,A hexaploid strawberry
3223,Some more edible berries. Which do you want to try?,A black currant,A blackberry,A gooseberry
3231,Do you like rose hip tea? I’m quite fond of it. Would you like to examine one of these roses more closely?,A prairie rose,A rose with wrinkly leaves,An interior rose
3232,"Grape juice, grape jelly, fresh grapes, and wine. So many ways to enjoy the fruit of these plants. Would you like to examine one more closely?",A grape native to North America with thick skins and small clusters of fruit,A grape native to eastern North America,A grape native to mediterranean area
3233,"Hot, cold, fermented… many different ways to use these various plants. Would you like to examine any of these more closely?","A hibiscus, for tea ","A flower from a hops, for beer ","A root from a sassafras, for root beer"
3311,These Alocasias all have such lovely leaves. Would you like a closer look at one?,One with small (for an Alocasia) green leaves,A night-scented lily,One that has gray-white veins in the leaves
3312,"Some vines are good for swinging on. These are not those kinds of vines. Nonetheless, perhaps you would still like to know more about one of them?",One with pink-purple flowers shaped like bells,One with a red flower that has white veining and a distinctive shape,One with yellow-orange flowers with 5 petals
3313,These trees come from all around the world. Would you like to examine one more closely?,One native to southern Europe and western Asia,One native to North America,One native to East Asia
3321,Most of these are used as landscape trees. They look so strange in this garden though: no branches on any trees here. Which would you like to examine?,An oak,A buckeye,A poplar
3322,Some of these low growers would even try to climb up trees! Would you like to get a closer look at one?,This one has reddish sap in its roots that can be used as a dye,This one has blue-violet flowers and can grow in the cracks between rocks,"This one has tiny, white, 5 petaled flowers that appear in a cluster"
3323,"These shrubs feature distinctive foliage. While valuable for identification, they can also lead people astray when they look similar to other, more famous leaves. Which leaf type would you like to investigate?",5-lobed leaves that look like a maple leaf ,Leaves with 7-9 deep lobes,Leaves with 3-7 shallow lobes
3331,This garden taught me the difference between a leaf and a leaflet. Which traits interest you?,"Native to North America, has large branched thorns on the trunk ","Native to Asia, has no thorns, has corky bark ","Native to North America, has short thorns at the base of each leaf"
3332,"While these plants have some similarity in the leaves, their flower structures are quite different. Would you like a close look at one?",Has flower spikes with purple-indigo flowers,"A cycad, makes a cone structure ",Has white flower clusters that turn into white berries
3333,"Short plants around here, watch where you step. Lovely flowers. Would you like a closer look at one?","Reddish purple flowers in a small, dense spike, blooms mid-summer ","A small ball of purple-pink flowers, blooms mid- to late-summer ","Drooping flowers, blooming very early spring"
